code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
0182R0,1Q K반도체TOP2+,FnGuide AI Semiconductor TOP2+ Index,available,etfs\raw\methodologies\0182R0_2dc046e4ab51.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0103T0,1Q K소버린AI,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\0103T0_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
385600,ACE 2차전지&친환경차액티브,FnGuide Secondary Battery Industry Index,available,etfs\raw\methodologies\385600_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
469150,ACE AI반도체TOP3+,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\469150_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
226380,ACE Fn성장소비주도주,FnGuide Growth and Consumption-Driven Stock Index,available,etfs\raw\methodologies\226380_7e2103f24d78.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0177X0,ACE K휴머노이드로봇산업TOP2+,FnGuide AI Semiconductor TOP2+ Index,available,etfs\raw\methodologies\0177X0_2dc046e4ab51.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
380340,ACE 코리아AI테크핵심산업,FnGuide Korea AI Tech Core Industry Index,available,etfs\raw\methodologies\380340_a0fd547b69bf.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
466810,BNK 2차전지양극재,FnGuide Secondary Battery Industry Index,available,etfs\raw\methodologies\466810_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
487750,BNK 온디바이스AI,FnGuide On-Device AI Index,available,etfs\raw\methodologies\487750_d51284e3ed0e.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
486240,DAISHIN343 AI반도체&인프라액티브,FnGuide AI Semiconductor & Infrastructure Index,available,etfs\raw\methodologies\486240_374de20750a1.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0189Z0,DAISHIN343 금융&지주고배당,FnGuide K High Dividend Index,available,etfs\raw\methodologies\0189Z0_99b6b7ae10f9.pdf,dividend,semiannual,"6,12",custom_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|custom_index_formula_inputs|dividend_data|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0174J0,DAISHIN343 오피스리츠플러스,FnGuide AI Semiconductor TOP2 Plus Index,available,etfs\raw\methodologies\0174J0_57c7d80a085d.pdf,keyword_theme,quarterly,"1,4,7,10",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395290,HANARO Fn K-POP&미디어,FnGuide K-POP & Media Index,available,etfs\raw\methodologies\395290_48ffa5d26b80.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395280,HANARO Fn K-게임,FnGuide K-Game Index,available,etfs\raw\methodologies\395280_61f80a798567.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395270,HANARO Fn K-반도체,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\395270_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
441540,HANARO Fn조선해운,FnGuide Shipbuilding & Shipping Industry Index,available,etfs\raw\methodologies\441540_15a11657b61c.pdf,sector_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
381570,HANARO Fn친환경에너지,FnGuide Green Energy Index,available,etfs\raw\methodologies\381570_0ec8d43f2410.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
498050,HANARO 바이오코리아액티브,FnGuide K-Bio Balanced Index,available,etfs\raw\methodologies\498050_e6ad30e3a9d6.pdf,equal_weight,quarterly,"5,6,11,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
476260,HANARO 반도체핵심공정주도주,FnGuide Semiconductor Core Process Tech Leaders Index,available,etfs\raw\methodologies\476260_ee8565063925.pdf,keyword_theme,quarterly,"3,6,9,12",custom_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|custom_index_formula_inputs|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0111J0,HANARO 증권고배당TOP3플러스,FnGuide High Dividend Securities TOP3 Plus Index,available,etfs\raw\methodologies\0111J0_94bcf5e1b9ca.pdf,dividend,semiannual,"6,12",market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0005G0,IBK K-AI반도체코어테크,FnGuide K-AI Semiconductor Core Technology Index,available,etfs\raw\methodologies\0005G0_45c63d415bf3.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
488200,KIWOOM K-2차전지북미공급망,FnGuide Secondary Battery Industry Index,available,etfs\raw\methodologies\488200_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
488210,KIWOOM K-반도체북미공급망,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\488210_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
483020,KIWOOM 의료AI,FnGuide AI medical technology Index,available,etfs\raw\methodologies\483020_99a98d15edd1.pdf,keyword_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
363580,KODEX 200IT TR,FnGuide-RAFI Korea Index Series,available,etfs\raw\methodologies\363580_71da2faa0706.pdf,dividend,annual,6,fundamental_float_adjusted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|fundamental_factors|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
305720,KODEX 2차전지산업,FnGuide Secondary Battery Industry Index,available,etfs\raw\methodologies\305720_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
461950,KODEX 2차전지핵심소재10,FnGuide Secondary Battery Core Materials 10 Index,available,etfs\raw\methodologies\461950_f13d50e5b8d0.pdf,keyword_theme,quarterly,"1,4,7,10",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
395160,KODEX AI반도체TOP2플러스,FnGuide AI Semiconductor TOP2 Plus Index,available,etfs\raw\methodologies\395160_57c7d80a085d.pdf,keyword_theme,quarterly,"1,4,7,10",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
471990,KODEX AI반도체핵심장비,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\471990_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
487240,KODEX AI전력핵심설비,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\487240_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
266370,KODEX IT,FnGuide IT PLUS Index,available,etfs\raw\methodologies\266370_bea5dc8cb6b5.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
117700,KODEX 건설,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\117700_165a330f5577.pdf,dividend,annual,6,equal_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
300950,KODEX 게임산업,FnGuide Game Industry Index,available,etfs\raw\methodologies\300950_1e987e725fc3.pdf,sector_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices
266390,KODEX 경기소비재,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\266390_165a330f5577.pdf,dividend,annual,6,equal_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0089D0,KODEX 금융고배당TOP10,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\0089D0_60b5df44287f.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\498410_60b5df44287f.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
102960,KODEX 기계장비,,missing,,unknown,unknown,,unknown,blocked_missing_pdf,find_fnguide_methodology_pdf,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
445290,KODEX 로봇액티브,,missing,,unknown,unknown,,unknown,blocked_missing_pdf,find_fnguide_methodology_pdf,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
244580,KODEX 바이오,FnGuide K-Bio Balanced Index,available,etfs\raw\methodologies\244580_e6ad30e3a9d6.pdf,equal_weight,quarterly,"5,6,11,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
091160,KODEX 반도체,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\091160_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0190G0,KODEX 반도체타겟위클리커버드콜,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\0190G0_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0080G0,KODEX 방산TOP10,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\0080G0_60b5df44287f.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
